id,context,question,answers
1, MADDE 1 – (1) Bu Yönetmeliğin amacı; Gebze Teknik Üniversitesine bağlı fakültelerde  yürütülen lisans düzeyinde ve meslek yüksekokullarında yürütülen ön  lisans düzeyinde eğitim -öğretim  esaslarına ilişkin hususları düzenlemektir.   Kapsam   ,Bu yönetmeliğin amacı nedir?,Bu Yönetmeliğin amacı; Gebze Teknik Üniversitesine bağlı fakültelerde yürütülen lisans düzeyinde ve meslek yüksekokullarında yürütülen ön lisans düzeyinde eğitim -öğretim esaslarına ilişkin hususları düzenlemektir.
1, MADDE 1 – (1) Bu Yönetmeliğin amacı; Gebze Teknik Üniversitesine bağlı fakültelerde  yürütülen lisans düzeyinde ve meslek yüksekokullarında yürütülen ön  lisans düzeyinde eğitim -öğretim  esaslarına ilişkin hususları düzenlemektir.   Kapsam   ,Bu yönetmelik hangi eğitim düzeylerini kapsar?,Bu yönetmelik lisans ve ön lisans düzeyindeki eğitim-öğretim esaslarını kapsar.
1, MADDE 1 – (1) Bu Yönetmeliğin amacı; Gebze Teknik Üniversitesine bağlı fakültelerde  yürütülen lisans düzeyinde ve meslek yüksekokullarında yürütülen ön  lisans düzeyinde eğitim -öğretim  esaslarına ilişkin hususları düzenlemektir.   Kapsam   ,Bu yönetmelik hangi üniversiteye bağlı birimler için geçerlidir?,Bu yönetmelik Gebze Teknik Üniversitesine bağlı fakülteler ve meslek yüksekokulları için geçerlidir.
2, MADDE 2 – (1) Bu Yönetmelik; Gebze Teknik Üniversitesine bağlı fakültelerde yürütülen lisans  düzeyinde ve meslek yüksekokullarında yürütülen ön  lisans düzeyinde eğitim -öğretim ile sınavlara  ilişkin hükümleri kapsar.   Dayanak   ,Bu Yönetmelik hangi düzeylerdeki eğitim-öğretim ve sınavları kapsar?,Bu Yönetmelik; Gebze Teknik Üniversitesine bağlı fakültelerde yürütülen lisans düzeyinde ve meslek yüksekokullarında yürütülen ön lisans düzeyinde eğitim -öğretim ile sınavlara ilişkin hükümleri kapsar.
2, MADDE 2 – (1) Bu Yönetmelik; Gebze Teknik Üniversitesine bağlı fakültelerde yürütülen lisans  düzeyinde ve meslek yüksekokullarında yürütülen ön  lisans düzeyinde eğitim -öğretim ile sınavlara  ilişkin hükümleri kapsar.   Dayanak   ,Bu yönetmelik hangi üniversiteyi kapsamaktadır?,Bu Yönetmelik; Gebze Teknik Üniversitesine bağlı fakültelerde yürütülen lisans düzeyinde ve meslek yüksekokullarında yürütülen ön lisans düzeyinde eğitim -öğretim ile sınavlara ilişkin hükümleri kapsar.
2, MADDE 2 – (1) Bu Yönetmelik; Gebze Teknik Üniversitesine bağlı fakültelerde yürütülen lisans  düzeyinde ve meslek yüksekokullarında yürütülen ön  lisans düzeyinde eğitim -öğretim ile sınavlara  ilişkin hükümleri kapsar.   Dayanak   ,Bu yönetmelik hangi eğitim birimlerini kapsamaktadır?,Bu Yönetmelik; Gebze Teknik Üniversitesine bağlı fakültelerde ve meslek yüksekokullarında yürütülen eğitim -öğretim ve sınavlara ilişkin hükümleri kapsar.
3, MADDE 3 – (1) Bu Yönetmelik  4/11/1981 tarihli ve 2547 sayılı Yükseköğretim Kanununun 14   üncü  ve 44 üncü maddelerine dayanılarak hazırlanmıştır.   Tanımlar   ,Bu Yönetmelik hangi kanunun hangi maddelerine dayanılarak hazırlanmıştır?,Bu Yönetmelik  4/11/1981 tarihli ve 2547 sayılı Yükseköğretim Kanununun 14 üncü ve 44 üncü maddelerine dayanılarak hazırlanmıştır.
4, MADDE 4 – (1) Bu Yönetmelikte geçen;   a) AKTS: Avrupa Kredi Transfer Sistemini    b) Fakülte: Gebze Teknik Üniversite bünyesindeki fakülteleri    c) Fakülte kurulu : İlgili fakültenin kurulunu    ç) Fakülte yönetim kurulu : İlgili fakülte yönetim kurulunu    d) Meslek yüksekokulu : Gebze Teknik Üniversite si bünyesindeki meslek yüksekokullarini     e) Meslek yüksekokulu kurulu : İlgili Meslek Yüksekokul Kurulunu    f) Meslek yüksekokulu yönetim kurulu : İlgili meslek yüksekokulu yönetim kurulunu    g) ÖSYM: Ölçme   Seçme ve Yerleştirme Merkezi Başkanlığını    ğ) Rektör: Gebze Teknik Üniversitesi Rektörünü    h) Rektörlük: Gebze Teknik Üniversitesi Rektörlüğünü    ı) Senato: Gebze Teknik Üniversitesi Senatosunu    i) Üniversite: Gebze Teknik Üniversitesini (GTÜ)    j) Üniversite Yönetim Kurulu: Gebze Teknik Üniversitesi Yönetim Kurulunu    k)  Danışman: Öğrenciyi  eğitim -öğretim  ders alma işlemleri ve benzeri konularda  bilgilendirmek ve yönlendirmek üzere görevlendirilen öğretim elemanını    ifade eder.     İKİNCİ BÖLÜM   Eğitim -Öğretim ile İlgili Esaslar   Kayıt -kabul  ve İngilizce yeterlik   ,Bu yönetmelikte AKTS neyi ifade etmektedir?,Bu Yönetmelikte AKTS  Avrupa Kredi Transfer Sistemini ifade eder.
4, MADDE 4 – (1) Bu Yönetmelikte geçen;   a) AKTS: Avrupa Kredi Transfer Sistemini    b) Fakülte: Gebze Teknik Üniversite bünyesindeki fakülteleri    c) Fakülte kurulu : İlgili fakültenin kurulunu    ç) Fakülte yönetim kurulu : İlgili fakülte yönetim kurulunu    d) Meslek yüksekokulu : Gebze Teknik Üniversite si bünyesindeki meslek yüksekokullarini     e) Meslek yüksekokulu kurulu : İlgili Meslek Yüksekokul Kurulunu    f) Meslek yüksekokulu yönetim kurulu : İlgili meslek yüksekokulu yönetim kurulunu    g) ÖSYM: Ölçme   Seçme ve Yerleştirme Merkezi Başkanlığını    ğ) Rektör: Gebze Teknik Üniversitesi Rektörünü    h) Rektörlük: Gebze Teknik Üniversitesi Rektörlüğünü    ı) Senato: Gebze Teknik Üniversitesi Senatosunu    i) Üniversite: Gebze Teknik Üniversitesini (GTÜ)    j) Üniversite Yönetim Kurulu: Gebze Teknik Üniversitesi Yönetim Kurulunu    k)  Danışman: Öğrenciyi  eğitim -öğretim  ders alma işlemleri ve benzeri konularda  bilgilendirmek ve yönlendirmek üzere görevlendirilen öğretim elemanını    ifade eder.     İKİNCİ BÖLÜM   Eğitim -Öğretim ile İlgili Esaslar   Kayıt -kabul  ve İngilizce yeterlik   ,"Bu yönetmelikte ""Fakülte"" ifadesi hangi anlamda kullanılmıştır?","Bu yönetmelikte ""Fakülte"" ifadesi  Gebze Teknik Üniversitesi bünyesindeki fakülteleri ifade eder."
4, MADDE 4 – (1) Bu Yönetmelikte geçen;   a) AKTS: Avrupa Kredi Transfer Sistemini    b) Fakülte: Gebze Teknik Üniversite bünyesindeki fakülteleri    c) Fakülte kurulu : İlgili fakültenin kurulunu    ç) Fakülte yönetim kurulu : İlgili fakülte yönetim kurulunu    d) Meslek yüksekokulu : Gebze Teknik Üniversite si bünyesindeki meslek yüksekokullarini     e) Meslek yüksekokulu kurulu : İlgili Meslek Yüksekokul Kurulunu    f) Meslek yüksekokulu yönetim kurulu : İlgili meslek yüksekokulu yönetim kurulunu    g) ÖSYM: Ölçme   Seçme ve Yerleştirme Merkezi Başkanlığını    ğ) Rektör: Gebze Teknik Üniversitesi Rektörünü    h) Rektörlük: Gebze Teknik Üniversitesi Rektörlüğünü    ı) Senato: Gebze Teknik Üniversitesi Senatosunu    i) Üniversite: Gebze Teknik Üniversitesini (GTÜ)    j) Üniversite Yönetim Kurulu: Gebze Teknik Üniversitesi Yönetim Kurulunu    k)  Danışman: Öğrenciyi  eğitim -öğretim  ders alma işlemleri ve benzeri konularda  bilgilendirmek ve yönlendirmek üzere görevlendirilen öğretim elemanını    ifade eder.     İKİNCİ BÖLÜM   Eğitim -Öğretim ile İlgili Esaslar   Kayıt -kabul  ve İngilizce yeterlik   ,"Bu yönetmelikte ""ÖSYM"" kısaltması neyi ifade etmektedir?","Bu yönetmelikte ""ÖSYM"" kısaltması  Ölçme  Seçme ve Yerleştirme Merkezi Başkanlığını ifade etmektedir."
