id;context;question;answers
1;" MADDE 1 – (1) Bu Yönetmeliðin amacý; Gebze Teknik Üniversitesine baðlý fakültelerde  yürütülen lisans düzeyinde ve meslek yüksekokullarýnda yürütülen ön  lisans düzeyinde eðitim -öðretim  esaslarýna iliþkin hususlarý düzenlemektir.   Kapsam   ";Bu Yönetmeliðin amacý nedir?;"Bu Yönetmeliðin amacý; Gebze Teknik Üniversitesine baðlý fakültelerde yürütülen lisans düzeyinde ve meslek yüksekokullarýnda yürütülen ön lisans düzeyinde eðitim -öðretim esaslarýna iliþkin hususlarý düzenlemektir."
1;" MADDE 1 – (1) Bu Yönetmeliðin amacý; Gebze Teknik Üniversitesine baðlý fakültelerde  yürütülen lisans düzeyinde ve meslek yüksekokullarýnda yürütülen ön  lisans düzeyinde eðitim -öðretim  esaslarýna iliþkin hususlarý düzenlemektir.   Kapsam   ";Bu yönetmelik hangi eðitim düzeylerini kapsar?;Bu yönetmelik  lisans ve ön lisans düzeyindeki eðitim-öðretim esaslarýný kapsar.
1;" MADDE 1 – (1) Bu Yönetmeliðin amacý; Gebze Teknik Üniversitesine baðlý fakültelerde  yürütülen lisans düzeyinde ve meslek yüksekokullarýnda yürütülen ön  lisans düzeyinde eðitim -öðretim  esaslarýna iliþkin hususlarý düzenlemektir.   Kapsam   ";Bu yönetmelik hangi üniversiteyi kapsamaktadýr?;Bu yönetmelik Gebze Teknik Üniversitesini kapsamaktadýr.
2;" MADDE 2 – (1) Bu Yönetmelik; Gebze Teknik Üniversitesine baðlý fakültelerde yürütülen lisans  düzeyinde ve meslek yüksekokullarýnda yürütülen ön  lisans düzeyinde eðitim -öðretim ile sýnavlara  iliþkin hükümleri kapsar.   Dayanak   ";Bu yönetmelik hangi eðitim düzeylerini kapsar?;"Bu Yönetmelik; Gebze Teknik Üniversitesine baðlý fakültelerde yürütülen lisans düzeyinde ve meslek yüksekokullarýnda yürütülen ön lisans düzeyinde eðitim -öðretim ile sýnavlara iliþkin hükümleri kapsar."
2;" MADDE 2 – (1) Bu Yönetmelik; Gebze Teknik Üniversitesine baðlý fakültelerde yürütülen lisans  düzeyinde ve meslek yüksekokullarýnda yürütülen ön  lisans düzeyinde eðitim -öðretim ile sýnavlara  iliþkin hükümleri kapsar.   Dayanak   ";Bu yönetmelik hangi üniversiteyi kapsamaktadýr?;"Bu Yönetmelik; Gebze Teknik Üniversitesine baðlý fakültelerde yürütülen lisans düzeyinde ve meslek yüksekokullarýnda yürütülen ön lisans düzeyinde eðitim -öðretim ile sýnavlara iliþkin hükümleri kapsar."
2;" MADDE 2 – (1) Bu Yönetmelik; Gebze Teknik Üniversitesine baðlý fakültelerde yürütülen lisans  düzeyinde ve meslek yüksekokullarýnda yürütülen ön  lisans düzeyinde eðitim -öðretim ile sýnavlara  iliþkin hükümleri kapsar.   Dayanak   ";Bu yönetmelik neleri düzenler?;"Bu Yönetmelik; Gebze Teknik Üniversitesine baðlý fakültelerde yürütülen lisans düzeyinde ve meslek yüksekokullarýnda yürütülen ön lisans düzeyinde eðitim -öðretim ile sýnavlara iliþkin hükümleri kapsar."
3; MADDE 3 – (1) Bu Yönetmelik  4/11/1981 tarihli ve 2547 sayýlý Yükseköðretim Kanununun 14   üncü  ve 44 üncü maddelerine dayanýlarak hazýrlanmýþtýr.   Tanýmlar   ;Bu Yönetmelik hangi kanunun hangi maddelerine dayanýlarak hazýrlanmýþtýr?;Bu Yönetmelik  4/11/1981 tarihli ve 2547 sayýlý Yükseköðretim Kanununun 14 üncü ve 44 üncü maddelerine dayanýlarak hazýrlanmýþtýr.
4;" MADDE 4 – (1) Bu Yönetmelikte geçen;   a) AKTS: Avrupa Kredi Transfer Sistemini    b) Fakülte: Gebze Teknik Üniversite bünyesindeki fakülteleri    c) Fakülte kurulu : Ýlgili fakültenin kurulunu    ç) Fakülte yönetim kurulu : Ýlgili fakülte yönetim kurulunu    d) Meslek yüksekokulu : Gebze Teknik Üniversite si bünyesindeki meslek yüksekokullarini     e) Meslek yüksekokulu kurulu : Ýlgili Meslek Yüksekokul Kurulunu    f) Meslek yüksekokulu yönetim kurulu : Ýlgili meslek yüksekokulu yönetim kurulunu    g) ÖSYM: Ölçme   Seçme ve Yerleþtirme Merkezi Baþkanlýðýný    ð) Rektör: Gebze Teknik Üniversitesi Rektörünü    h) Rektörlük: Gebze Teknik Üniversitesi Rektörlüðünü    ý) Senato: Gebze Teknik Üniversitesi Senatosunu    i) Üniversite: Gebze Teknik Üniversitesini (GTÜ)    j) Üniversite Yönetim Kurulu: Gebze Teknik Üniversitesi Yönetim Kurulunu    k)  Danýþman: Öðrenciyi  eðitim -öðretim  ders alma iþlemleri ve benzeri konularda  bilgilendirmek ve yönlendirmek üzere görevlendirilen öðretim elemanýný    ifade eder.     ÝKÝNCÝ BÖLÜM   Eðitim -Öðretim ile Ýlgili Esaslar   Kayýt -kabul  ve Ýngilizce yeterlik   ";Bu yönetmelikte AKTS neyi ifade eder?;Bu Yönetmelikte AKTS  Avrupa Kredi Transfer Sistemini ifade eder.
4;" MADDE 4 – (1) Bu Yönetmelikte geçen;   a) AKTS: Avrupa Kredi Transfer Sistemini    b) Fakülte: Gebze Teknik Üniversite bünyesindeki fakülteleri    c) Fakülte kurulu : Ýlgili fakültenin kurulunu    ç) Fakülte yönetim kurulu : Ýlgili fakülte yönetim kurulunu    d) Meslek yüksekokulu : Gebze Teknik Üniversite si bünyesindeki meslek yüksekokullarini     e) Meslek yüksekokulu kurulu : Ýlgili Meslek Yüksekokul Kurulunu    f) Meslek yüksekokulu yönetim kurulu : Ýlgili meslek yüksekokulu yönetim kurulunu    g) ÖSYM: Ölçme   Seçme ve Yerleþtirme Merkezi Baþkanlýðýný    ð) Rektör: Gebze Teknik Üniversitesi Rektörünü    h) Rektörlük: Gebze Teknik Üniversitesi Rektörlüðünü    ý) Senato: Gebze Teknik Üniversitesi Senatosunu    i) Üniversite: Gebze Teknik Üniversitesini (GTÜ)    j) Üniversite Yönetim Kurulu: Gebze Teknik Üniversitesi Yönetim Kurulunu    k)  Danýþman: Öðrenciyi  eðitim -öðretim  ders alma iþlemleri ve benzeri konularda  bilgilendirmek ve yönlendirmek üzere görevlendirilen öðretim elemanýný    ifade eder.     ÝKÝNCÝ BÖLÜM   Eðitim -Öðretim ile Ýlgili Esaslar   Kayýt -kabul  ve Ýngilizce yeterlik   ";"Bu yönetmelikte ""Fakülte"" tanýmý nedir?";Bu yönetmelikte Fakülte  Gebze Teknik Üniversitesi bünyesindeki fakülteleri ifade eder.
4;" MADDE 4 – (1) Bu Yönetmelikte geçen;   a) AKTS: Avrupa Kredi Transfer Sistemini    b) Fakülte: Gebze Teknik Üniversite bünyesindeki fakülteleri    c) Fakülte kurulu : Ýlgili fakültenin kurulunu    ç) Fakülte yönetim kurulu : Ýlgili fakülte yönetim kurulunu    d) Meslek yüksekokulu : Gebze Teknik Üniversite si bünyesindeki meslek yüksekokullarini     e) Meslek yüksekokulu kurulu : Ýlgili Meslek Yüksekokul Kurulunu    f) Meslek yüksekokulu yönetim kurulu : Ýlgili meslek yüksekokulu yönetim kurulunu    g) ÖSYM: Ölçme   Seçme ve Yerleþtirme Merkezi Baþkanlýðýný    ð) Rektör: Gebze Teknik Üniversitesi Rektörünü    h) Rektörlük: Gebze Teknik Üniversitesi Rektörlüðünü    ý) Senato: Gebze Teknik Üniversitesi Senatosunu    i) Üniversite: Gebze Teknik Üniversitesini (GTÜ)    j) Üniversite Yönetim Kurulu: Gebze Teknik Üniversitesi Yönetim Kurulunu    k)  Danýþman: Öðrenciyi  eðitim -öðretim  ders alma iþlemleri ve benzeri konularda  bilgilendirmek ve yönlendirmek üzere görevlendirilen öðretim elemanýný    ifade eder.     ÝKÝNCÝ BÖLÜM   Eðitim -Öðretim ile Ýlgili Esaslar   Kayýt -kabul  ve Ýngilizce yeterlik   ";"Bu yönetmelikte ""Rektör"" kimdir?";Bu yönetmelikte Rektör  Gebze Teknik Üniversitesi Rektörünü ifade eder.
